NEWCASEID,Q1,Q2,Q3_A,Q3_B,Q3_C,Q3_D,Q4,Q5,Q6_A,Q6_B,Q6_C,Q6_D,Q6_E,Q8,Q9A,Q9B,Q9C,Q10,Q11,Q12,OFTVOTE,SNS,PARTY,PARTYLN,IDEO,SEX,MARITAL,Q16,Q17_A,Q17_B,Q17_C,Q17_D,Q17_E,Q17_F,Q17_G,Q24,Q25,QR2,LGBT,Q27,Q31,Q32,Q32A_Codes,Q32A_posOE1,Q32A_posOE2,Q32A_posOE3,Q32A_posOE4,Q32A_negOE1,Q32A_negOE2,Q32A_negOE3,Q33_A,Q33_B,Q33_C,Q33_D,Q39,Q40,Q41,Q42,Q44,Q44new_OE1,Q44new_OE2,Q44new_OE3,q44aNEW,q44compNEW,Q44B,Q44C,Q45,Q45new_OE1,Q45new_OE2,Q45new_OE3,q45aNEW,q45compNEW,Q45B,Q45C,Q46,q46aNEW,q46compNEW,Q47,q47aNEW,q47compNEW,Q48,Q49,q52oe_1,q52oe_2,q52oe_3,Q53,Q54,Q55,Q56_A,Q56_B,Q56_C,Q56_D,Q56_E,Q56_F,Q56_G,Q63_A,Q63_B,Q63_C,Q63_D,Q63_E,Q63_F,Q64_OE1,Q64_OE2,Q64_OE3,Q65_A,Q65_B,Q65_C,Q65_D,Q65_E,Q66_A,Q66_B,Q66_C,Q66_D,Q66_E,Q66_F,Q67,Q68,Q70,Q71,Q72,Q73,Q74,Q80_A,Q80_B,Q80_C,Q80_D,Q80_E,Q80_F,Q80_G,Q82_A,Q82_B,Q82_C,Q82_D,Q82_E,Q82_F,Q83_A,Q83_B,Q83_C,Q83_D,Q83_E,Q83_F,Q84,Q85,Q85a,Q86,Q87,Q88,Q89,Q90,Q92,Q93,Q94,Q95,Q96,EMPLOY2,Q98,Q99,Q102A,Q102B,Q102C,Q102D,USBORN,religNEW,CHR,BORN,ATTEND,IMP,REG,INCOME,ppagecat,PPEDUCAT,PPETHM,PPHHHEAD,PPHHSIZEnew,PPT017,PPMSACAT,PPRENT,PPNET,weight,duration
527.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,3.0,3.0,4.0,3.0,-1.0,,,,,,,,2.0,2.0,,2.0,9.0,,18.0,19.0,2.0,2.0,,,,2.0,,,2.0,2.0,,,,2.0,,,2.0,,2.0,2.0,,2.0,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,68.0,77.0,43.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,5.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.4789,48.0
528.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,4.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,3.0,3.0,-1.0,,,,,,,,2.0,,2.0,2.0,9.0,,16.0,-99.0,1.0,,,,,1.0,1.0,3.0,2.0,2.0,,,,2.0,,,1.0,,1.0,3.0,1.0,3.0,1.0,2.0,12.0,,,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,999.0,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,,,,,2.0,,,,3.0,3.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,5.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.4793,38.0
529.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,5.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,3.0,1.0,,2.0,,,,,,,1.0,,1.0,1.0,10.0,,16.0,17.0,1.0,,,,,1.0,2.0,3.0,1.0,,,,,1.0,2.0,3.0,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,997.0,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,,3.0,4.0,,,2.0,1.0,1.0,2.0,1.0,3.0,,,6.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4813,14.0
530.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,3.0,3.0,-1.0,,,,,,,,4.0,,2.0,4.0,20.0,,25.0,27.0,2.0,3.0,,,,2.0,,,2.0,3.0,,,,2.0,,,3.0,1.0,3.0,3.0,-1.0,5.0,1.0,3.0,5.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,42.0,,,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,,,,,2.0,,,,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4813,18.0
531.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,6.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,3.0,1.0,,2.0,,,,,,,1.0,,1.0,2.0,13.0,,16.0,24.0,1.0,,,,,1.0,2.0,3.0,1.0,,,,,1.0,1.0,3.0,1.0,,1.0,3.0,1.0,3.0,1.0,1.0,1.0,9.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,7.0,52.0,83.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,2.0,,,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,,6.0,4.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.4813,259.0
532.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,-1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,2.0,1.0,3.0,3.0,-1.0,,,,,,,,2.0,,2.0,2.0,12.0,,18.0,38.0,1.0,,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,3.0,-1.0,,5.0,1.0,,1.0,1.0,3.0,99.0,,,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,-1.0,-1.0,1.0,2.0,1.0,2.0,999.0,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,1.0,2.0,,,,3.0,,,2.0,2.0,1.0,2.0,1.0,1.0,,2.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4824,14.0
533.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,5.0,,,,,,2.0,,2.0,2.0,10.0,,12.0,29.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,3.0,1.0,3.0,1.0,1.0,5.0,,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,122.0,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,,6.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4852,12.0
534.0,2.0,1.0,1.0,2.0,4.0,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,6.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,1.0,1.0,,4.0,5.0,,,,,,1.0,,2.0,2.0,5.0,,5.0,10.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,,1.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.0,111.0,39.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.4859,30.0
535.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,,1.0,5.0,3.0,1.0,,3.0,,,,,,,,1.0,2.0,2.0,15.0,,17.0,26.0,2.0,4.0,,,,2.0,,,2.0,4.0,,,,2.0,,,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,999.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,3.0,2.0,,,2.0,2.0,,2.0,,,3.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,5.0,2.0,1.0,5.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.4882,18.0
536.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,5.0,3.0,1.0,,1.0,6.0,,,,,,,2.0,4.0,3.0,17.0,,34.0,36.0,1.0,,,,,1.0,1.0,1.0,3.0,,,,1.0,3.0,,,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,11.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,2.0,,1.0,,1.0,2.0,2.0,,,3.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,3.0,1.0,1.0,6.0,6.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.4888,46.0
537.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,3.0,-1.0,,,,,,,,3.0,,3.0,3.0,3.0,,12.0,17.0,2.0,2.0,,,,2.0,,,2.0,2.0,,,,2.0,,,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,998.0,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,,,2.0,2.0,,2.0,,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,4.0,2.0,1.0,7.0,4.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,0.4902,15.0
538.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,-1.0,,,,,,,,3.0,2.0,1.0,,,10.0,18.0,-99.0,3.0,3.0,,,3.0,2.0,,,3.0,3.0,,,3.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,107.0,7.0,,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,,,,,2.0,,,,,3.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,4.0,2.0,1.0,4.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4912,4565.0
539.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,,1.0,,,,,,,2.0,1.0,1.0,,,9.0,15.0,21.0,2.0,3.0,,,,2.0,,,2.0,,,,,3.0,,,3.0,1.0,3.0,2.0,,2.0,1.0,2.0,9.0,7.0,,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,,,1.0,2.0,,2.0,,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,0.0,1.0,2.0,1.0,0.4913,21.0
540.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,1.0,4.0,3.0,3.0,-1.0,,,,,,,,,2.0,2.0,3.0,25.0,,30.0,35.0,1.0,,,,,1.0,1.0,3.0,2.0,1.0,,,,2.0,,,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,999.0,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,2.0,,,1.0,1.0,1.0,,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,,6.0,4.0,1.0,-1.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.4954,18.0
541.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,,3.0,3.0,2.0,3.0,-1.0,,,,,,,,4.0,4.0,,4.0,12.0,,14.0,-99.0,2.0,3.0,,,,2.0,,,2.0,6.0,,,,2.0,,,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,122.0,,,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,,,,,2.0,,,,3.0,4.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4974,16.0
542.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,3.0,1.0,6.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,,2.0,1.0,3.0,3.0,-1.0,,,,,,,,4.0,,4.0,4.0,10.0,,25.0,30.0,3.0,,,,1.0,3.0,,,1.0,,,,,1.0,2.0,3.0,1.0,,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,86.0,,,2.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,,,2.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,6.0,4.0,1.0,8.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.4991,13.0
543.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,4.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,,2.0,1.0,2.0,3.0,-1.0,,,,,,,,2.0,,2.0,2.0,8.0,,14.0,18.0,2.0,99.0,,,,2.0,,,2.0,99.0,,,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,2.0,99.0,,,3.0,1.0,1.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,999.0,,,2.0,2.0,2.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,,,2.0,,,,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,6.0,3.0,1.0,8.0,2.0,4.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4991,54.0
544.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,5.0,3.0,1.0,-1.0,-1.0,,,,,,,,1.0,3.0,2.0,16.0,,19.0,25.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,1.0,2.0,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,7.0,,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,,,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,5.0,3.0,1.0,7.0,4.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.4997,15.0
545.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,4.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,,,,,,,1.0,,1.0,2.0,10.0,,12.0,21.0,1.0,,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,,,2.0,2.0,2.0,2.0,3.0,-1.0,3.0,3.0,3.0,3.0,1.0,2.0,,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,,1.0,,1.0,,,2.0,,,,,3.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,4.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5006,19.0
546.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,,3.0,4.0,4.0,3.0,-1.0,,,,,,,,1.0,1.0,,3.0,25.0,,25.0,-99.0,2.0,,,,,3.0,,,2.0,99.0,,,,2.0,,,2.0,,2.0,2.0,,2.0,2.0,4.0,1.0,,,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,999.0,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,-1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,,2.0,,,2.0,,,,,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,5.0,5.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.5013,14.0
